1,Dalhousie Tennis,Sports,06-Sep-24,Duece and Competition,"The Dalhousie Tennis Club is a student-run society that is open to all students interested in playing on our competitive team or improving their skills through recreational tennis events that our club hosts in the fall. Our competitive team competes against teams from across Atlantic Canada in the Atlantic University Tennis League (AUTL), with the winner qualifying for a spot at the University Tennis Nationals. We host recreational tennis events open to all community members looking to improve their skills, or for those looking to try tennis out for the first time. The club's goal is to foster an active tennis community at Dalhousie that is welcoming to anyone and everyone, while also providing competitive tennis players a space to further develop their skills and compete against other universities.",assets\img\societies\dt.jpeg,dt@dal.ca
2,Dalhousie Undergraduate Political Science Society,Academic,07-Sep-24,Advocating for Political Science,"DUPSS is a non-partisan, student-run organization that aims to represent and spearhead the interests of political science students at Dalhousie University and the University of King’s College. The purpose of DUPSS is to represent, promote and facilitate its members’ interests in all disciplines of Political Science at Dalhousie University and the University of King’s College; to foster relationships amongst the student membership, faculty, and administration, of varying years and areas of interest, of the Dalhousie University Department of Political Science; and to encourage the participation of Political Science Undergraduate Students in all levels of decision-making within the Department of Political Science, by ensuring that students are represented on committees that are known to have direct bearing on the rights and interests of those students.",assets\img\societies\dupss.jpeg,dupss@dal.ca
3,Dalhousie Squash,Sports,03-Sep-24,Building Community Through Squash,"The Dalhousie Squash Club (DSC) is a great place to meet other squash enthusiasts and work on improving your game. Membership in the DSC is free and is open to anyone with access to the Dalplex. We run weekly drop-in nights, fun tournaments, the Dalhousie Open, social events, and coaching clinics. If you are new to the game, or an experienced squash player, there is something for everyone in Dalhousie Squash Club.",assets\img\societies\ds.jpeg,ds@dal.ca
4,Dalhousie Kinesiology,Academic,30-Aug-24,Promoting Diversity and Inclusion in Kinesiology,"Our aim is to create a community in kinesiology by promoting diversity, inclusion, and healthy habits to all students. We encourage physical activity and support overall health and well-being.",assets\img\societies\dk.jpeg,dk@dal.ca
5,Dalhousie Lebanese Society,Cultural,31-Aug-24,Celebrating Lebanese Culture,"The Lebanese society at Dalhousie University will serve as a vibrant hub for cultural enrichment, promoting the rich heritage and traditions of Lebanon. Through a variety of engaging events such as Lebanese cuisine nights, traditional music and dance performances, and informative workshops on Lebanese history and art, the society will provide a platform for students of all backgrounds to explore and appreciate Lebanese culture. It will actively welcome students of all nationalities and religions to join in every event and celebration, fostering an atmosphere of unity and understanding among the diverse student population at Dalhousie. Community and support will be cornerstones of the Lebanese society's mission at Dalhousie. Members will not only support one another through academic challenges but also create a warm and inclusive environment where everyone feels like part of a close-knit family. Their commitment to welcoming students from all backgrounds reflects their dedication to Arab unity. This society will collaborate with other Middle Eastern and Arab student groups on campus to strengthen ties, exchange ideas, and work together on initiatives that promote regional awareness and solidarity. In doing so, they will contribute not only to enhancing university life but also to the academic and career development of their members while fostering an environment where everyone, regardless of their nationality or religion, feels valued and welcomed",assets\img\societies\Dls.jpeg,dls@dal.ca
6,Dalhousie Mountaneers,Sports,01-Sep-24,Climb Cape Split and All,"Embark on thrilling adventures with the Dalhousie Mountaineers. Whether you're an experienced climber or a beginner, join us as we explore the great outdoors, conquer mountains, and build lasting friendships along the way.",assets\img\societies\dm.jpeg,dm@dal.ca
7,Dalhousie Oceanography,Academic,02-Sep-24,Advocating for Oceanography,"Our society offers a community to Oceanography grad students. We advocate for student's rights to the Department of Oceanography and we offer help to students when it comes to program requirements, work progress, difficulties with profs/supervisors etc. All Oceanography grad students are encouraged to join one or more of our committees to be actively involved in the DOSA community. Our society is very important to Oceanography grad students as we have about 50% international students and we are help them get settled here and include them in the community. The same goes for national students, but it is often more challenging for international students. We have established a great community in which students help each other out and make sure no one is left behind.",assets\img\societies\do.jpeg,do@dal.ca
8,Dalhousie Hola,Academic,29-Aug-24,Hola amigos!,"Immerse yourself in the vibrant world of Hispanic culture with Dalhousie Hola. From language workshops to cultural festivals, we celebrate the rich diversity and heritage of Spanish-speaking countries. Join us to connect with fellow enthusiasts, expand your horizons, and embrace the beauty of Hispanic traditions.",assets\img\societies\dh.jpeg,dh@dal.ca
9,Dalhousie South Asian Society,Cultural,04-Sep-24,Celebrating South Asian Heritage,We are the South Asian Society of Dalhousie. We aim to host regular South Asian-themed events. Our main goal is to provide a fun and safe space for students of South Asian diaspora,assets\img\societies\dsas.jpeg,dsas@dal.ca
10,Dalhousie Science Society,Academic,05-Sep-24,Fostering Science Community,"The mission of the Dalhousie Science Society is to support the following: Community, Academia and Advocacy. Through planning social events and uniting the various departments of the faculty, we aim to create a sense of community for students in the science faculty. In supporting opportunities for professional development for students, such as workshops, panels, and providing grant opportunities, we support academia. Finally, in identifying problems faced by science students, we aim to advocate",assets\img\societies\dss.jpeg,dss@dal.ca
11,Dalhousie Cycles,Sports,27-Aug-24,Cycling around Halifax,"The Bike society provides free bike rentals, repair space and events such as workshops and group rides to Dalhousie and King Students! The Bike Society’s purpose is to lower barriers to accessing bike-related resources for everyone, but especially students. Through the Centre, the Society provides students free bike loans and repair space. The loan programs allow students to have an active and eco-friendly form of transport that is fun, social, and brings them outside. The Centre provides a workspace, tools and parts to repair one’s bike and employs qualified students as mechanics to assist students maintain and repair their bikes. Along with this assistance, we also provide workshops so that students can learn more about maintaining their bikes themselves. The Society also organizes bike rides to allow students to explore the city and make friends!",assets\img\societies\dc.jpeg,dc@dal.ca
